17:06:38:093 [ALWAYS]	GUDE Logging Started
17:06:38:093 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
17:06:38:093 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
17:06:38:093 [ERROR]	Initialize resume cache pointer failure
17:06:38:093 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
17:06:38:093 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
17:06:40:853 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
17:06:40:853 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
17:06:40:853 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
17:06:40:854 [ERROR]	Initialize resume cache pointer failure
17:06:40:854 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
17:06:40:854 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
